"ZIP3","X_centroid","Y_centroid"
420,-88.5629044,36.9017181
421,-86.0862808,36.8865662
422,-87.1519775,36.9294968
423,-87.0164642,37.5201607
424,-87.7021484,37.4733887
425,-84.7012177,37.1517258
426,-84.8187485,36.8092384
427,-85.7253647,37.3156967
430,-82.9150543,40.2008591
431,-82.9946747,39.678875
432,-82.9823151,39.9887962
433,-83.3890305,40.5502701
434,-83.3001022,41.4192657
435,-84.2189713,41.4580269
436,-83.5444641,41.6586418
437,-81.6627274,39.8477402
438,-81.8896408,40.261631
439,-80.8987579,40.2463608
440,-81.285141,41.5476837
441,-81.6659546,41.4200439
442,-81.5979309,41.1223602
443,-81.5522003,41.0760536
444,-80.7767258,41.0956612
445,-80.665863,41.0649948
446,-81.5257721,40.6501083
447,-81.3619766,40.8209991
448,-82.7546158,41.0078239
449,-82.550972,40.7464905
450,-84.4696121,39.4329491
451,-83.8374863,39.1529655
452,-84.4763184,39.1792297
453,-84.301384,39.9730225
454,-84.1779175,39.7492523
455,-83.8138275,39.9288063
456,-82.8565063,38.9722176
457,-81.7911606,39.3526268
458,-84.2307129,40.8255005
460,-86.1352921,40.1703262
461,-86.1770401,39.6175346
462,-86.13871,39.7840729
463,-87.0533981,41.4108734
464,-87.3360214,41.5523109
465,-86.0873871,41.4333496
466,-86.2979736,41.6606293
467,-85.2132874,41.1730652
468,-85.1591034,41.084465
469,-86.1379852,40.762825
470,-85.0874023,39.150341
471,-86.0401535,38.4217377
472,-85.7430801,39.0431366
473,-85.1543655,40.0839691
474,-86.6462936,38.9951439
475,-87.0238953,38.475605
476,-87.5130844,38.1297226
477,-87.5914078,38.0146904
478,-87.2902069,39.4401131
479,-87.1041718,40.4942741
480,-82.8018494,42.8357315
481,-83.6283798,42.2040443
482,-83.1119843,42.3809853
483,-83.3495789,42.660553
484,-83.2176819,43.2921524
485,-83.6906586,43.0222816
486,-84.3627701,44.0036926
487,-83.5613174,44.0334167
488,-84.6785431,43.0221825
489,-84.5813904,42.7338371
490,-85.5452957,42.2005959
491,-86.3538361,41.8719482
492,-84.3529816,42.0492744
493,-85.5565186,43.3342361
494,-86.1397629,43.3855247
495,-85.6590271,42.9532928
496,-85.5184555,44.450695
497,-84.4883041,45.5207977
498,-86.9275131,46.1784668
499,-88.9241409,46.6555557
500,-93.9385452,41.623394
501,-93.4687881,41.5628929
502,-93.5988998,41.6189995
503,-93.6287918,41.5977173
504,-93.3725052,43.1659012
505,-94.4470139,42.7687263
506,-92.4590225,42.6611328
507,-92.3081436,42.4850311
508,-94.5531693,40.9659042
510,-95.8968658,42.5942307
511,-96.3703232,42.5217133
512,-96.0468216,43.2769585
513,-95.1348114,43.2659187
514,-95.0746765,42.1082726
515,-95.5438766,41.4450607
516,-95.3572006,40.7425613
520,-90.9716873,42.4589539
